05018F2/109.9,⿰目奏
08400F2/199.8,⿺麥炎
07326F2/162.11,⿺辶⿰豸攵
00888F1/27.13,⿸厂煩
04296F1/86.9,⿰炎且
07686F2/169.6,⿵門光
05461F2/118.6,⿱竹回
02636F1/61.12,⿰忄𦱋
06968F2/154.5,⿰貝民
06425F2/140.15,⿱苗⿳一田灬
05141F2/112.9,⿱斫石
07206F2/159.11,⿰車⿳一口冏
07403F2/163.13,⿰𠨣阝
04565F2/96.6,⿰王臼
01570F1/32.12,⿰土廊
03829F1/79.7,⿰𦣻殳
07966F2/181.4,⿰文頁
05601F2/119.4,⿰米尤
06338F2/140.12,⿱艹逶
01207F1/30.12,⿰口雲
01130F1/30.10,⿰口⿱卜⿱囚土
00164F1/5.12,⿰畢也
06101F2/136.19,⿱䜌舛
01151F1/30.10,⿰口⿸广更
07039F2/157.3,⿰𧾷阝
00409F1/9.14,⿰亻⿱⿰丙丙木
07439F2/164.8,⿰酉昌
04687F2/98.13,⿱新瓦
01587F1/32.13,⿱新土
07299F2/162.9,⿺辶𣅻
02760F1/63.5,⿸戶包
02914F1/64.11,⿰扌條
05092F2/111.8,⿰矢阿
05674F2/120.3,⿰糸阝
07424F2/164.4,⿰酉允
07791F2/170.14,⿰阝夐
05051F2/109.12,⿰目庾
07357F2/162.16,⿺辶擇
01380F1/30.20,⿰口齡
03074F1/68.21,⿰魔斗
04805F2/104.7,⿸疒含
07441F2/164.8,⿰酉劵
02509F1/61.5,⿰忄叐
00987F1/30.6,⿱臼口
00437F1/9.21,⿰亻覽
03343F1/72.21,⿰日覽
01398F1/30.23,⿰口𪘨
00776F1/19.11,⿱敕力
06531F2/142.3,⿰虫巳
02410F1/57.13,⿰弓遂
02943F1/64.13,⿰扌⿻丂⿱叹虫
08100F2/187.4,⿰馬欠
01030F1/30.8,⿰口臥
03233F1/72.9,⿺是氏
07305F2/162.9,⿺辶⿸广㬰
01061F1/30.8,⿰口⿸尸犮
06889F2/149.12,⿰言黃
02217F1/50.6,⿰巾光
01052F1/30.8,⿰口沮
01345F1/30.17,⿰口臈
07625F2/167.14,⿰金⿱隹向
02858F1/64.8,⿰扌𠒋
00315F1/9.8,⿰亻波
01373F1/30.20,⿰口藺
02640F1/61.11,⿰忄第
01806F1/38.21,⿰女曩
01377F1/30.19,⿰口鵮
04640F2/96.13,⿰王𥟦
05096F2/111.10,⿰矣舍
04844F2/104.14,⿸疒漏
01045F1/30.8,⿰口例
06451F2/140.16,⿱艹𪌞
02253F1/50.15,⿰巾𡪺
01388F1/30.21,⿰口露
01236F1/30.12,⿰口絡
00433F1/9.17,⿰亻⿸疒猒
01162F1/30.11,⿰口捺
02675F1/61.14,⿰忄⿳艹𠔿戍
07980F2/181.8,⿰尚頁
01775F1/38.11,⿰女⿱今
01084F1/30.10,⿰口荏
03220F1/5.11,⿺是乞
07996F2/181.12,⿰⿱⿱𠂊⿴囗夂心頁
06879F2/149.10,⿰言𥙊
06715F2/145.9,⿰衤𥝻
02921F1/64.11,⿰扌章
01933F1/40.14,⿰寧也
01310F1/30.15,⿲口𠤕⿱𠆢米
03972F1/85.8,⿲氵巨巳
03753F1/77.11,⿰⿱止天余
00925F1/29.10,⿱臤云
03783F1/78.6,⿰歹⿹⿻𠀁口一
01152F1/30.10,⿰口𣵀
02495F1/61.4,⿰忄𠂔
02045F1/46.3,⿱山𫶧
07253F2/162.4,⿺辶𠮛
01187F1/30.11,⿰口𥬒
04567F2/96.6,⿰王宅
01760F1/38.9,⿰女拏
01290F1/30.14,⿰口誦
02191F1/48.3,⿰工勺
04163F1/85.17,⿰氵⿳艹浦寸
01163F1/30.11,⿰口梩
06480F2/140.18,⿱薩木
04317F1/86.10,⿰火射
07759F2/170.8,⿰阝炎
01293F1/30.14,⿰口網
01851F1/40.5,⿱宀布
03193F1/72.7,⿰日⿱且八
03615F1/75.11,⿰木奢
01259F1/30.13,⿰口⿰𠤕⿱𠆢木
06312F2/140.11,⿱艹⿰阝易
07429F2/164.6,⿰酉吉
02533F1/61.7,⿱𣏌心
05516F2/118.11,⿱竹梫
02547F1/61.7,⿰忄孚
00712F1/18.10,⿱徒刀
00383F1/9.12,⿰⿱攵里
01395F1/30.22,⿰口籠
07288F2/162.8,⿺辶⿱𠂉虫
06248F2/140.9,⿱艹㓨
08340F2/196.10,⿱訓鳥
03191F1/72.7,⿰日坒
06453F2/140.16,⿱𦵮米
07084F2/157.9,⿰𧾷奓
03258F1/72.10,⿰日栗
07125F2/157.12,⿰𧾷善
04495F2/94.7,⿰束犬
03791F1/78.6,⿰歹糸
08311F2/196.6,⿰鳥死
07322F2/162.11,⿺辶萎
03709F1/76.6,⿰交欠
07165F2/158.16,⿰身親
01311F1/30.14,⿰口舞
01142F1/30.10,⿰口特
04835F2/104.12,⿸疒隂
02980F1/64.16,⿰扌燕
05293F2/115.5,⿰禾冬
03758F1/77.12,⿰⿱止石谷
05639F2/119.8,⿰⿱止凶米
04874F2/106.3,⿰白乇
00155F1/5.9,⿰亨也
00153F1/5.8,⿰牟乞
07213F2/159.13,⿱鼓車
03203F1/72.7,⿰日利
02726F1/61.19,⿰忄覇
05862F2/123.8,⿰羊底
02451F1/60.6,⿰彳次
06321F2/140.12,⿱艹博
01752F1/38.8,⿱𠱀女
06998F2/154.10,⿱賏凡
06652F2/144.3,⿰𢓁亍
01225F1/30.13,⿰口犍
06541F2/142.5,⿱功虫
01393F1/30.21,⿰口纈
07695F2/169.8,⿵門芭
01481F1/32.7,⿰土否
02859F1/64.8,⿱抳土
07982F2/181.8,⿰周頁
04090F1/85.12,⿰氵䆥
06445F2/140.16,⿱艹儒
01007F1/30.7,⿱吅今
01180F1/30.11,⿰口部
04937F2/108.5,⿱白皿
04484F2/94.5,⿰申犬
02922F1/64.11,⿰扌𧙃
00704F1/18.9,⿰室刂
07127F2/157.12,⿰𧾷絡
04259F1/86.7,⿰火⿱龴田
08064F2/184.15,⿰𩙿⿱艹𤊅
04942F2/108.8,⿱招皿
01286F1/30.14,⿰口⿰𠤕余
04468F1/93.11,⿰牟咸
01459F1/32.5,⿱白土
00918F1/29.7,⿱谷又
06746F2/145.13,⿰衤⿳艹内伐
01328F1/30.16,⿰口覩
01177F1/30.11,⿰口異
05231F2/113.9,⿰示⿱臼工
05739F2/120.11,⿰糸窓
02807F1/64.6,⿰扌名
07494F2/167.3,⿰金廾
02440F1/60.5,⿰彳去
01217F1/30.12,⿰口⿱品亐
01069F1/30.9,⿰口姪
03605F1/75.11,⿰木⿱弟木
01685F1/37.8,⿰孛太
00988F1/30.6,⿰口𠇍
00281F1/9.7,⿰亻劫
08274F2/195.15,⿰魚賛
06764F2/146.9,⿱西卑
00533F1/122.9,⿱丿
02987F1/64.16,⿰扌築
04646F2/96.14,⿰王㴝
07491F2/166.13,⿰亭野
06454F2/140.16,⿱艹隣
06066F2/133.15,⿳⿴𦥑同冖至
07763F2/170.9,⿰阝軍
06289F2/140.11,⿱艹㭪
01237F1/30.12,⿰口絰
03544F1/75.9,⿰木⿱⿺𠃊口目
05095F2/111.10,⿰矢⿱廿⿻中二
08170F2/188.15,⿰⿱莫氺骨
02033F1/44.16,⿰居捨
03764F1/77.17,⿰武葛
06055F2/132.7,⿰自曵
02380F1/57.6,⿱如弓
06868F2/149.9,⿰言客
03431F1/75.3,⿰木刄
02467F1/60.9,⿲彳丨
00956F1/30.5,⿱口可
02617F1/61.10,⿰忄送
04554F2/96.5,⿰王尒
02751F1/62.11,⿰⿱𠄮日戈
01566F1/32.11,⿰土⿸𠂆𧆞
07411F2/163.18,⿰𢋨阝
01725F1/38.3,⿰女亡
01472F1/32.6,⿱自土
03631F1/75.11,⿰木⿱丒⿰丒丒
01513F1/32.9,⿰土⿱丰皿
03854F1/79.21,⿰僉發
01789F1/38.13,⿰女⿱呑⿵𦉪丅
01795F1/38.15,⿰女⿱合南
01081F1/30.9,⿰口恨
01188F1/30.11,⿰口脫
00466F1/43.10,⿺兀⿱田⿱一𧘇
03657F1/75.15,⿰木⿱覀卑
08403F2/199.10,⿺麥𤰇
03567F1/75.10,⿰木⿱丗冉
02757F1/63.5,⿸戶古
06344F2/140.12,⿱艹補
07912F2/177.5,⿰革付
04218F1/86.4,⿰火毛
06366F2/140.13,⿰苟苟
05509F2/118.10,⿱竹⿰亻𤰅
02862F1/64.9,⿰扌柰
01941F1/40.18,⿰寧夜
05680F2/120.5,⿰糸平
03557F1/75.9,⿰木⿱㐫夂
02537F1/61.7,⿰忄⿱日工
01156F1/30.10,⿰口狸
00993F1/30.6,⿰口字
06462F2/140.17,⿱艹闍
07181F2/159.5,⿰車皮
02014F1/44.10,⿸尸⿱文羊
07775F2/170.11,⿰阝貪
06692F2/145.7,⿱釆衣
05013F2/109.8,⿱⿰冫衣目
04291F1/86.9,⿰火⿹勹𦈢
02784F1/64.4,⿰扌𠂔
07697F2/169.8,⿵門放
03672F1/75.16,⿰木築
01509F1/32.8,⿰土⿳亠口
01354F1/30.17,⿰口翳
02928F1/64.12,⿰扌替
07018F2/155.9,⿰赤負
05271F2/113.19,⿰示⿳竹罒⿱冖伐
06520F2/141.12,⿰𡭴⿸虍冂
01601F1/32.15,⿰土墮
00989F1/30.6,⿰口旨
01164F1/30.11,⿰口梵
05310F2/115.8,⿰禾𤰅
01140F1/30.10,⿰口隽
04629F2/96.12,⿰王棃
04555F2/96.5,⿰王氐
04761F2/102.11,⿰番及
08492F2/211.11,⿰齒虗
08167F2/188.11,⿰骨專
01352F1/30.16,⿰口彊
01460F1/32.5,⿰土⿸𠂋丅
01319F1/30.15,⿰口履
07794F2/170.15,⿰阝𠾳
04854F2/104.19,⿸疒甖
01473F1/32.6,⿰土缶
02021F1/44.10,⿱尸徒
03891F1/82.15,⿺毛數
03878F1/82.9,⿺毛⿳𠂊𦉪夂
02692F1/61.14,⿰忄⿸户邕
07443F2/164.8,⿰酉孟
01226F1/30.12,⿰口臰
00757F1/19.7,⿰⿱台十力
01914F1/40.11,⿱宀⿰爿告
02127F1/46.11,⿱山密
02315F1/53.12,⿸广單
06535F2/142.4,⿰元虫
07069F2/157.8,⿱叔足
05718F2/120.9,⿰糸虽
03222F1/122.8,⿱𠔿沓
04991F2/109.6,⿰目危
07172F2/159.4,⿰車𠓝
02808F1/64.6,⿰扌⿱𠂉丹
01610F1/32.18,⿰土藍
05624F2/119.6,⿰米旨
06305F2/140.11,⿱茖𠕁
07290F2/162.8,⿺辶⿱丷𡰯
03893F1/82.16,⿰⿱亠賏毛
04452F1/93.8,⿱⿰牙攵牛
04459F1/93.8,⿰牟合
03475F1/75.6,⿰木⿱厶巴
08343F2/196.10,⿰𨹧鳥
04837F2/104.13,⿸疒睒
03745F1/77.8,⿰⿱止天
01157F1/30.10,⿰口娜
06786F2/147.12,⿰焱見
06293F2/140.11,⿱艹⿰貝比
01153F1/30.10,⿰口祖
01053F1/30.8,⿰口祁
07969F2/181.5,⿰⿱几夕頁
04393F2/156.7,⿺走⿸厂𢆉
00156F1/5.10,⿰𢌿也
04813F2/104.9,⿸疒⿱匇心
05949F2/128.11,⿱殹耳
08049F2/184.10,⿰飠⿱𦍌⿹勹㐅
04010F1/85.9,⿰氵䀜
04929F2/107.13,⿰䖒皮
01602F1/32.16,⿰堇免
04958F2/108.14,⿰益曷
01062F1/30.8,⿰口陀
03326F1/72.14,⿰日⿱日恭
06747F2/145.13,⿰衤業
07509F2/167.6,⿰金印
01378F1/30.19,⿰口⿱欼酉
06795F2/148.4,⿰角升
02653F1/61.12,⿱棘心
03135F1/72.4,⿱曰日
06589F2/142.10,⿲虫豆寸
06414F2/140.14,⿱艹𦁉
02099F1/46.9,⿰山
07579F2/167.10,⿰金迸
06471F2/140.17,⿱艹擘
01306F1/30.15,⿱倶⿻十吅
01374F1/30.19,⿱倶⿰吅吅
01346F1/30.16,⿱倶⿱艹吅
02624F1/61.10,⿱𡚺𢗦
02556F1/61.7,⿱妢心
07122F2/157.12,⿰𧾷⿱田⿰歹寸
07123F2/157.12,⿰𧾷⿱日⿱八𪧷
04058F1/85.11,⿰氵荼
02002F1/44.6,⿸尸地
05780F2/120.24,⿸麻⿱路糸
06848F2/149.7,⿰言伯
06877F2/149.10,⿰言⿱白去
02618F1/61.10,⿰亭必
05242F2/113.11,⿱執示
04059F1/85.11,⿰氵將
02399F1/57.9,⿰弓卑
07905F2/176.12,⿰面壹
06012F2/130.11,⿰月崑
00893F1/28.4,⿱厶开
00384F1/9.12,⿰亻歮
04046F1/85.10,⿰氵𨊫
00810F1/22.5,⿷匚田
06921F2/151.11,⿱戚豆
03839F1/79.10,⿰索殳
00945F1/30.4,⿰口攴
06284F2/140.10,⿳艹必必
08183F2/190.5,⿰镸⿱彡古
05020F2/109.9,⿰目⿱山虫
05992F2/130.8,⿰月妾
02929F1/64.12,⿰扌裁
02302F1/53.10,⿸广羗
01246F1/30.13,⿰單丹
01584F1/32.13,⿱椽土
02003F1/44.6,⿸尸虫
06735F2/145.11,⿱啇衣
00152F1/5.8,⿰并也
05443F2/117.14,⿰寧立
00151F1/5.8,⿰名也
01315F1/30.15,⿰口諂
02031F1/44.15,⿸尸撟
01123F1/30.10,⿰口捚
02996F1/64.26,⿰扌⿱⿱⿴𦥑同冖焱
05551F2/118.13,⿱竹⿰忄⿺専丶
05831F2/122.10,⿱罒⿰羊毛
05842F2/122.12,⿱罒㲜
03966F1/85.7,⿰氵防
04541F2/96.3,⿰王巳
04256F1/86.7,⿰火沙
01335F1/30.16,⿰口黔
08493F2/211.11,⿰齒菁
01629F1/66.7,⿰⿱子攵
04589F2/96.8,⿰珊寸
01202F1/30.11,⿰口將
02589F1/61.9,⿱活心
04001F1/85.9,⿰氵⿹廾
03165F1/72.6,⿱日有
03112F1/70.9,⿰方屏
04773F2/102.15,⿰田暴
06241F2/140.9,⿳艹𠆢言
03263F1/72.11,⿰日⿱𫇦夗
00377F1/9.12,⿰亻⿱龷隹
05479F2/118.8,⿱竹𨑲
02060F1/46.5,⿳山𠆢土
03818F1/79.4,⿰厄殳
07405F2/163.13,⿰尾耶
05364F2/116.4,⿱穴爪
01396F1/30.22,⿰口儼
01347F1/30.16,⿰口儗
06446F2/140.16,⿱艹勲
04364F1/86.13,⿱⿰犭⿰⿱車一力灬
06642F2/142.19,⿰虫邊
07289F2/162.8,⿺辶念
01341F1/30.16,⿰口羲
01144F1/30.10,⿰口修
05308F2/115.8,⿰禾𡶤
01071F1/30.9,⿰口垣
06590F2/142.10,⿰虫致
07136F2/157.14,⿰𧾷賓
05217F2/113.7,⿱⿱冖示
06004F2/130.10,⿰月桀
03895F1/82.19,⿱䜌毛
00251F1/9.5,⿰亻叐
07466F2/164.15,⿱斫𥭛
07109F2/157.10,⿰𧾷离
01394F1/30.22,⿰口聾
01482F1/32.7,⿰土𡉤
